Gear_ID,Name,Sport,Type,Material,Price,Ratings
84,Reebok Running Shorts,Baseball,Ball,Mesh,59,4.3
85,Asics Gel Nimbus,Rugby,Clothing,Leather,73,4.8
86,Asics Gel Nimbus,Badminton,Ball,Polyester,69,4.1
87,Adidas Predator,Squash,Gloves,Synthetic,185,4.1
88,Under Armour T-Shirt,Badminton,Gloves,Polyester,101,3.5
89,Puma Goalkeeper Gloves,Squash,Gloves,Synthetic,78,4.9
90,Asics Gel Nimbus,Badminton,Clothing,Synthetic,172,4.6
91,Reebok Running Shorts,Squash,Ball,Mesh,81,4.7
92,Nike Air Zoom,Football,Gloves,Leather,159,4.9
93,Adidas Predator,Squash,Ball,Polyester,188,4.7
94,Wilson Basketball,Hockey,Clothing,Polyester,179,3.8
95,Nike Air Zoom,Squash,Shoes,Cotton,32,3.6
96,Adidas X Pro Gloves,Rugby,Ball,Polyester,70,4.5
97,Adidas Predator,Badminton,Gloves,Cotton,29,4.3
98,Puma Goalkeeper Gloves,Badminton,Shoes,Synthetic,77,4.9
99,Asics Gel Nimbus,Badminton,Clothing,Polyester,55,4.8
100,Puma Goalkeeper Gloves,Volleyball,Clothing,Leather,28,3.7
101,Nike Air Zoom,Long Tennis,Ball,Synthetic,175,4.5
102,Adidas X Pro Gloves,Volleyball,Gloves,Synthetic,161,3.7
103,Wilson Basketball,Volleyball,Ball,Synthetic,195,3.5
104,Nike Air Zoom,Baseball,Clothing,Leather,137,4.2
105,Under Armour T-Shirt,Volleyball,Shoes,Mesh,103,4.9
106,Asics Gel Nimbus,Baseball,Shoes,Leather,95,3.6
107,Wilson Basketball,Table Tennis,Gloves,Polyester,64,4.2
108,Under Armour T-Shirt,Football,Gloves,Synthetic,37,4.9
109,Adidas X Pro Gloves,Rugby,Ball,Cotton,172,4.7
110,Asics Gel Nimbus,Football,Gloves,Leather,69,4.7
111,Adidas Predator,Football,Clothing,Mesh,121,4.6
112,Asics Gel Nimbus,Long Tennis,Clothing,Mesh,44,4.8
113,Under Armour T-Shirt,Rugby,Gloves,Synthetic,140,4.8
114,Asics Gel Nimbus,Badminton,Shoes,Leather,91,5.0
115,Wilson Basketball,Hockey,Shoes,Mesh,39,4.5
116,Nike Air Zoom,Table Tennis,Clothing,Leather,151,4.8
117,Puma Goalkeeper Gloves,Squash,Ball,Synthetic,93,4.7
118,Nike Air Zoom,Volleyball,Gloves,Synthetic,153,4.3
119,Wilson Basketball,Volleyball,Gloves,Cotton,69,3.9
120,Reebok Running Shorts,Golf,Gloves,Synthetic,40,4.0
121,Adidas X Pro Gloves,Squash,Ball,Mesh,78,4.7
122,Reebok Running Shorts,Golf,Gloves,Synthetic,53,4.0
123,Asics Gel Nimbus,Long Tennis,Gloves,Mesh,55,3.7
124,Adidas X Pro Gloves,Cricket,Gloves,Mesh,70,4.6
125,Adidas Predator,Golf,Gloves,Polyester,113,4.1
126,Adidas X Pro Gloves,Long Tennis,Gloves,Polyester,73,4.1
127,Adidas Predator,Hockey,Shoes,Cotton,174,4.7
128,Under Armour T-Shirt,Football,Ball,Leather,158,4.3
129,Adidas Predator,Cricket,Gloves,Synthetic,122,4.0
130,Under Armour T-Shirt,Golf,Ball,Polyester,53,3.7
131,Reebok Running Shorts,Cricket,Ball,Polyester,117,4.0
132,Asics Gel Nimbus,Rugby,Gloves,Synthetic,72,4.7
133,Asics Gel Nimbus,Football,Ball,Leather,52,4.2
134,Reebok Running Shorts,Football,Gloves,Mesh,154,3.7
135,Reebok Running Shorts,Baseball,Gloves,Polyester,147,3.7
136,Nike Air Zoom,Long Tennis,Clothing,Mesh,102,4.8
137,Adidas X Pro Gloves,Golf,Ball,Mesh,48,3.9
138,Puma Goalkeeper Gloves,Hockey,Shoes,Polyester,110,4.0
139,Puma Goalkeeper Gloves,Hockey,Gloves,Leather,137,3.8
140,Under Armour T-Shirt,Volleyball,Shoes,Synthetic,75,3.6
141,Adidas Predator,Skating,Gloves,Mesh,104,4.9
142,Asics Gel Nimbus,Badminton,Ball,Polyester,68,4.7
143,Wilson Basketball,Skating,Gloves,Leather,132,3.6
144,Reebok Running Shorts,Golf,Clothing,Leather,120,5.0
145,Puma Goalkeeper Gloves,Hockey,Clothing,Polyester,152,3.6
146,Wilson Basketball,Table Tennis,Shoes,Leather,185,4.3
147,Asics Gel Nimbus,Volleyball,Gloves,Synthetic,46,4.1
148,Adidas Predator,Baseball,Ball,Mesh,73,4.6
149,Asics Gel Nimbus,Badminton,Ball,Polyester,145,3.8
150,Adidas X Pro Gloves,Golf,Clothing,Leather,152,4.4
151,Puma Goalkeeper Gloves,Cricket,Shoes,Polyester,34,4.5
152,Reebok Running Shorts,Cricket,Shoes,Cotton,116,4.5
153,Wilson Basketball,Volleyball,Shoes,Leather,87,4.1
154,Adidas Predator,Squash,Gloves,Cotton,118,4.3
155,Wilson Basketball,Cricket,Shoes,Cotton,174,4.1
156,Adidas X Pro Gloves,Rugby,Gloves,Polyester,199,4.9
157,Reebok Running Shorts,Badminton,Ball,Mesh,94,4.6
158,Wilson Basketball,Badminton,Shoes,Synthetic,101,3.9
159,Reebok Running Shorts,Skating,Ball,Polyester,70,3.6
160,Asics Gel Nimbus,Football,Ball,Mesh,194,4.7
161,Under Armour T-Shirt,Badminton,Ball,Synthetic,112,3.9
162,Nike Air Zoom,Squash,Clothing,Leather,23,3.7
163,Nike Air Zoom,Table Tennis,Ball,Synthetic,142,3.5
164,Adidas Predator,Badminton,Gloves,Leather,73,3.6
165,Adidas X Pro Gloves,Long Tennis,Clothing,Leather,35,3.9
166,Under Armour T-Shirt,Table Tennis,Ball,Mesh,152,4.5
167,Adidas X Pro Gloves,Skating,Gloves,Synthetic,192,4.2
168,Nike Air Zoom,Squash,Clothing,Mesh,164,3.8
169,Adidas X Pro Gloves,Skating,Ball,Cotton,191,4.6
170,Adidas Predator,Hockey,Clothing,Leather,20,3.9
171,Adidas Predator,Squash,Ball,Leather,112,4.9
172,Reebok Running Shorts,Long Tennis,Ball,Cotton,181,4.9
173,Under Armour T-Shirt,Squash,Clothing,Polyester,143,4.8
174,Adidas Predator,Skating,Clothing,Leather,166,4.2
175,Adidas X Pro Gloves,Football,Clothing,Cotton,84,4.2
176,Under Armour T-Shirt,Squash,Gloves,Cotton,69,3.8
177,Reebok Running Shorts,Cricket,Gloves,Mesh,45,4.1
178,Puma Goalkeeper Gloves,Volleyball,Ball,Synthetic,20,3.7
179,Asics Gel Nimbus,Golf,Clothing,Cotton,115,4.7
180,Wilson Basketball,Badminton,Gloves,Synthetic,125,4.9
181,Asics Gel Nimbus,Hockey,Clothing,Leather,155,4.6
182,Puma Goalkeeper Gloves,Hockey,Ball,Polyester,185,4.3
183,Adidas Predator,Squash,Gloves,Leather,60,4.9
184,Wilson Basketball,Football,Shoes,Leather,26,4.6
185,Nike Air Zoom,Rugby,Clothing,Mesh,81,4.9
186,Adidas X Pro Gloves,Volleyball,Clothing,Cotton,63,4.0
187,Adidas Predator,Hockey,Clothing,Cotton,143,4.5
188,Wilson Basketball,Table Tennis,Ball,Leather,58,4.1
189,Asics Gel Nimbus,Table Tennis,Shoes,Mesh,125,4.6
190,Wilson Basketball,Hockey,Shoes,Cotton,130,4.0
191,Nike Air Zoom,Long Tennis,Ball,Leather,155,4.5
192,Under Armour T-Shirt,Long Tennis,Shoes,Mesh,145,4.0
193,Wilson Basketball,Long Tennis,Shoes,Synthetic,35,4.7
194,Adidas X Pro Gloves,Squash,Ball,Polyester,196,4.1
195,Reebok Running Shorts,Table Tennis,Shoes,Leather,127,4.7
196,Puma Goalkeeper Gloves,Badminton,Gloves,Mesh,49,3.6
197,Wilson Basketball,Rugby,Gloves,Cotton,128,4.7
198,Adidas Predator,Golf,Clothing,Synthetic,91,4.5
199,Adidas Predator,Squash,Gloves,Leather,176,4.7
200,Nike Air Zoom,Cricket,Gloves,Polyester,112,3.9
201,Wilson Basketball,Badminton,Ball,Polyester,88,4.4
202,Wilson Basketball,Baseball,Ball,Leather,150,3.9
203,Nike Air Zoom,Table Tennis,Clothing,Polyester,94,3.6
204,Adidas Predator,Golf,Ball,Cotton,56,3.8
205,Adidas X Pro Gloves,Football,Shoes,Cotton,98,4.8
206,Puma Goalkeeper Gloves,Football,Clothing,Mesh,144,4.6
207,Adidas Predator,Table Tennis,Shoes,Leather,115,4.3
208,Under Armour T-Shirt,Golf,Ball,Synthetic,91,4.8
209,Nike Air Zoom,Skating,Clothing,Synthetic,193,4.9
210,Wilson Basketball,Football,Gloves,Leather,91,3.6
211,Adidas X Pro Gloves,Volleyball,Gloves,Leather,184,4.9
212,Wilson Basketball,Hockey,Gloves,Synthetic,123,4.5
213,Puma Goalkeeper Gloves,Baseball,Clothing,Mesh,180,4.8
214,Puma Goalkeeper Gloves,Badminton,Shoes,Polyester,71,3.7
215,Asics Gel Nimbus,Long Tennis,Clothing,Leather,168,4.8
216,Under Armour T-Shirt,Long Tennis,Clothing,Synthetic,126,4.4
217,Reebok Running Shorts,Skating,Clothing,Mesh,181,4.8
218,Adidas X Pro Gloves,Cricket,Shoes,Leather,89,3.8
219,Adidas X Pro Gloves,Long Tennis,Clothing,Leather,88,4.6
220,Adidas X Pro Gloves,Rugby,Shoes,Polyester,159,4.3
221,Reebok Running Shorts,Hockey,Clothing,Cotton,147,3.6
222,Wilson Basketball,Table Tennis,Ball,Mesh,105,4.8
223,Wilson Basketball,Rugby,Ball,Mesh,200,4.4
224,Adidas Predator,Rugby,Clothing,Cotton,101,4.6
225,Adidas X Pro Gloves,Table Tennis,Gloves,Synthetic,67,3.9
226,Nike Air Zoom,Cricket,Ball,Synthetic,182,4.5
227,Puma Goalkeeper Gloves,Hockey,Gloves,Mesh,162,4.9
228,Under Armour T-Shirt,Cricket,Clothing,Mesh,124,4.2
229,Asics Gel Nimbus,Squash,Clothing,Polyester,121,4.6
230,Asics Gel Nimbus,Football,Clothing,Synthetic,85,4.1
231,Under Armour T-Shirt,Rugby,Ball,Leather,86,4.8
232,Reebok Running Shorts,Golf,Clothing,Synthetic,107,4.6
233,Reebok Running Shorts,Table Tennis,Gloves,Polyester,184,4.6
234,Wilson Basketball,Cricket,Ball,Leather,52,4.4
235,Under Armour T-Shirt,Skating,Gloves,Mesh,165,3.7
236,Asics Gel Nimbus,Cricket,Gloves,Polyester,54,4.0
237,Wilson Basketball,Hockey,Ball,Cotton,169,3.6
238,Under Armour T-Shirt,Rugby,Ball,Leather,181,4.1
239,Under Armour T-Shirt,Cricket,Shoes,Cotton,52,4.2
240,Adidas Predator,Table Tennis,Ball,Synthetic,179,3.7
241,Nike Air Zoom,Badminton,Clothing,Leather,94,4.5
242,Adidas Predator,Rugby,Ball,Synthetic,29,4.0
243,Wilson Basketball,Squash,Gloves,Synthetic,54,4.4
244,Puma Goalkeeper Gloves,Volleyball,Shoes,Synthetic,171,4.0
245,Wilson Basketball,Badminton,Clothing,Polyester,191,5.0
246,Wilson Basketball,Football,Gloves,Leather,159,4.4
247,Reebok Running Shorts,Squash,Ball,Synthetic,58,4.2
248,Reebok Running Shorts,Badminton,Clothing,Polyester,80,3.8
249,Reebok Running Shorts,Baseball,Shoes,Synthetic,54,3.6
250,Puma Goalkeeper Gloves,Long Tennis,Shoes,Synthetic,63,3.9
251,Reebok Running Shorts,Baseball,Clothing,Synthetic,166,3.6
252,Adidas X Pro Gloves,Badminton,Ball,Cotton,107,4.4
253,Asics Gel Nimbus,Baseball,Ball,Cotton,68,4.3
254,Reebok Running Shorts,Rugby,Clothing,Cotton,68,4.7
255,Puma Goalkeeper Gloves,Skating,Clothing,Mesh,145,4.9
256,Adidas X Pro Gloves,Table Tennis,Shoes,Polyester,133,4.0
257,Nike Air Zoom,Volleyball,Shoes,Cotton,100,4.8
258,Wilson Basketball,Hockey,Gloves,Polyester,180,3.8
259,Nike Air Zoom,Baseball,Clothing,Leather,159,4.6
260,Wilson Basketball,Long Tennis,Clothing,Leather,188,3.9
261,Adidas Predator,Badminton,Clothing,Polyester,54,4.1
262,Wilson Basketball,Baseball,Shoes,Cotton,181,3.6
263,Reebok Running Shorts,Rugby,Clothing,Polyester,85,4.7
264,Puma Goalkeeper Gloves,Long Tennis,Shoes,Cotton,117,4.9
265,Adidas X Pro Gloves,Squash,Ball,Synthetic,29,3.7
266,Under Armour T-Shirt,Cricket,Ball,Cotton,163,4.4
267,Puma Goalkeeper Gloves,Hockey,Ball,Leather,94,4.8
268,Reebok Running Shorts,Football,Shoes,Leather,189,4.2
269,Adidas X Pro Gloves,Table Tennis,Shoes,Synthetic,184,4.1
270,Under Armour T-Shirt,Squash,Gloves,Polyester,27,3.9
271,Wilson Basketball,Hockey,Shoes,Leather,184,4.1
272,Wilson Basketball,Baseball,Ball,Leather,153,3.8
273,Reebok Running Shorts,Table Tennis,Clothing,Synthetic,91,4.3
274,Adidas Predator,Squash,Gloves,Leather,181,4.2
275,Adidas Predator,Hockey,Gloves,Leather,33,3.8
276,Asics Gel Nimbus,Badminton,Clothing,Synthetic,194,4.5
277,Reebok Running Shorts,Hockey,Ball,Polyester,197,4.6
278,Adidas Predator,Volleyball,Shoes,Synthetic,193,5.0
279,Adidas Predator,Rugby,Shoes,Polyester,145,4.0
280,Adidas X Pro Gloves,Long Tennis,Clothing,Mesh,39,3.7
281,Adidas Predator,Volleyball,Shoes,Leather,198,4.0
282,Reebok Running Shorts,Football,Clothing,Mesh,101,3.8
283,Reebok Running Shorts,Baseball,Gloves,Polyester,41,3.9
284,Wilson Basketball,Table Tennis,Shoes,Synthetic,91,3.6
285,Under Armour T-Shirt,Football,Ball,Cotton,189,3.8
286,Asics Gel Nimbus,Table Tennis,Shoes,Polyester,27,3.6
287,Adidas X Pro Gloves,Squash,Clothing,Mesh,191,4.6
288,Under Armour T-Shirt,Cricket,Ball,Polyester,45,4.2
289,Adidas Predator,Skating,Ball,Mesh,65,4.2
290,Adidas X Pro Gloves,Skating,Gloves,Mesh,48,3.9
291,Adidas Predator,Long Tennis,Shoes,Polyester,102,4.7
292,Adidas Predator,Long Tennis,Ball,Mesh,137,4.8
293,Puma Goalkeeper Gloves,Golf,Gloves,Leather,185,4.3
294,Under Armour T-Shirt,Squash,Ball,Mesh,85,4.1
295,Reebok Running Shorts,Skating,Ball,Leather,64,3.6
296,Under Armour T-Shirt,Golf,Shoes,Mesh,140,4.7
297,Wilson Basketball,Hockey,Shoes,Synthetic,77,4.5
298,Adidas X Pro Gloves,Cricket,Shoes,Polyester,195,4.7
299,Adidas X Pro Gloves,Baseball,Clothing,Polyester,50,4.8
300,Adidas X Pro Gloves,Golf,Gloves,Leather,33,4.6
301,Reebok Running Shorts,Rugby,Ball,Cotton,26,4.1
302,Reebok Running Shorts,Baseball,Gloves,Leather,135,4.1
303,Under Armour T-Shirt,Badminton,Ball,Mesh,117,4.6
304,Wilson Basketball,Volleyball,Gloves,Polyester,101,4.1
305,Puma Goalkeeper Gloves,Volleyball,Gloves,Synthetic,179,3.6
306,Asics Gel Nimbus,Squash,Clothing,Mesh,82,3.7
307,Asics Gel Nimbus,Cricket,Shoes,Mesh,30,4.2
308,Reebok Running Shorts,Cricket,Ball,Leather,117,4.5
309,Adidas X Pro Gloves,Hockey,Shoes,Polyester,133,3.5
310,Adidas Predator,Table Tennis,Clothing,Polyester,175,3.5
311,Under Armour T-Shirt,Long Tennis,Ball,Synthetic,200,5.0
312,Reebok Running Shorts,Table Tennis,Ball,Leather,177,4.5
313,Puma Goalkeeper Gloves,Rugby,Ball,Polyester,171,4.8
314,Wilson Basketball,Long Tennis,Shoes,Mesh,24,4.5
315,Under Armour T-Shirt,Baseball,Ball,Cotton,193,4.0
316,Asics Gel Nimbus,Rugby,Gloves,Cotton,89,3.9
317,Adidas Predator,Long Tennis,Clothing,Synthetic,171,4.8
318,Adidas Predator,Cricket,Shoes,Mesh,156,4.9
319,Reebok Running Shorts,Golf,Clothing,Synthetic,108,4.5
320,Under Armour T-Shirt,Skating,Gloves,Leather,132,4.7
321,Reebok Running Shorts,Skating,Shoes,Mesh,192,4.8
322,Under Armour T-Shirt,Table Tennis,Gloves,Synthetic,135,3.6
323,Under Armour T-Shirt,Squash,Gloves,Polyester,168,3.8
324,Adidas Predator,Table Tennis,Shoes,Polyester,99,3.6
325,Adidas X Pro Gloves,Volleyball,Clothing,Mesh,179,4.6
326,Nike Air Zoom,Golf,Shoes,Polyester,40,4.4
327,Puma Goalkeeper Gloves,Football,Shoes,Polyester,165,3.7
328,Reebok Running Shorts,Volleyball,Gloves,Polyester,174,3.7
329,Adidas Predator,Skating,Shoes,Polyester,71,4.3
330,Adidas Predator,Rugby,Shoes,Leather,65,4.3
331,Adidas Predator,Table Tennis,Ball,Polyester,86,4.2
332,Wilson Basketball,Football,Shoes,Synthetic,63,4.3
333,Nike Air Zoom,Squash,Clothing,Synthetic,169,4.5
334,Nike Air Zoom,Skating,Ball,Leather,85,4.3
335,Wilson Basketball,Table Tennis,Shoes,Cotton,83,4.9
336,Under Armour T-Shirt,Badminton,Clothing,Mesh,164,4.0
337,Wilson Basketball,Football,Clothing,Leather,177,3.8
338,Wilson Basketball,Badminton,Gloves,Mesh,190,4.1
339,Adidas X Pro Gloves,Golf,Gloves,Leather,192,4.8
340,Adidas X Pro Gloves,Badminton,Shoes,Mesh,21,5.0
341,Nike Air Zoom,Skating,Shoes,Leather,30,3.9
342,Wilson Basketball,Skating,Gloves,Leather,89,3.7
343,Asics Gel Nimbus,Skating,Clothing,Leather,178,4.6
344,Under Armour T-Shirt,Hockey,Clothing,Mesh,80,3.7
345,Nike Air Zoom,Football,Shoes,Synthetic,61,4.5
346,Adidas Predator,Skating,Shoes,Cotton,37,4.4
347,Puma Goalkeeper Gloves,Cricket,Shoes,Cotton,165,4.6
348,Adidas Predator,Cricket,Ball,Polyester,107,4.9
349,Nike Air Zoom,Table Tennis,Ball,Cotton,61,4.8
350,Puma Goalkeeper Gloves,Football,Ball,Cotton,21,4.5
351,Under Armour T-Shirt,Football,Shoes,Cotton,83,4.7
352,Puma Goalkeeper Gloves,Skating,Ball,Mesh,36,4.2
353,Wilson Basketball,Football,Ball,Synthetic,115,3.6
354,Asics Gel Nimbus,Hockey,Gloves,Leather,104,4.8
355,Puma Goalkeeper Gloves,Squash,Ball,Cotton,142,3.9
356,Under Armour T-Shirt,Volleyball,Ball,Polyester,179,3.7
357,Under Armour T-Shirt,Football,Ball,Mesh,20,4.7
358,Under Armour T-Shirt,Skating,Shoes,Mesh,163,4.0
359,Adidas Predator,Hockey,Shoes,Leather,54,4.8
360,Puma Goalkeeper Gloves,Cricket,Clothing,Mesh,62,3.8
361,Reebok Running Shorts,Volleyball,Shoes,Synthetic,86,4.6
362,Wilson Basketball,Table Tennis,Ball,Polyester,186,3.7
363,Wilson Basketball,Squash,Gloves,Cotton,75,4.8
364,Puma Goalkeeper Gloves,Baseball,Clothing,Leather,91,4.0
365,Nike Air Zoom,Skating,Clothing,Cotton,193,4.1
366,Puma Goalkeeper Gloves,Badminton,Shoes,Synthetic,56,4.3
367,Asics Gel Nimbus,Long Tennis,Clothing,Cotton,111,4.2
368,Adidas Predator,Badminton,Clothing,Cotton,132,3.8
369,Nike Air Zoom,Volleyball,Clothing,Mesh,72,4.6
370,Adidas X Pro Gloves,Table Tennis,Clothing,Polyester,35,4.3
371,Asics Gel Nimbus,Badminton,Ball,Mesh,132,5.0
372,Under Armour T-Shirt,Long Tennis,Ball,Polyester,60,4.5
373,Puma Goalkeeper Gloves,Hockey,Shoes,Leather,197,4.1
374,Asics Gel Nimbus,Badminton,Clothing,Synthetic,195,4.0
375,Asics Gel Nimbus,Long Tennis,Gloves,Cotton,93,3.7
376,Asics Gel Nimbus,Squash,Gloves,Synthetic,160,3.6
377,Wilson Basketball,Squash,Clothing,Cotton,77,4.4
378,Adidas X Pro Gloves,Volleyball,Ball,Synthetic,46,4.7
379,Adidas Predator,Skating,Ball,Cotton,63,3.8
380,Nike Air Zoom,Cricket,Gloves,Polyester,146,4.6
381,Under Armour T-Shirt,Golf,Ball,Polyester,74,5.0
382,Asics Gel Nimbus,Badminton,Shoes,Mesh,107,3.9
383,Nike Air Zoom,Football,Clothing,Cotton,49,4.9
384,Under Armour T-Shirt,Table Tennis,Clothing,Cotton,25,5.0
385,Puma Goalkeeper Gloves,Golf,Clothing,Leather,73,4.3
386,Asics Gel Nimbus,Long Tennis,Clothing,Cotton,154,4.4
387,Wilson Basketball,Golf,Shoes,Cotton,46,4.9
388,Asics Gel Nimbus,Long Tennis,Ball,Synthetic,143,3.9
389,Asics Gel Nimbus,Long Tennis,Shoes,Cotton,103,4.7
390,Puma Goalkeeper Gloves,Golf,Ball,Polyester,179,3.9
391,Puma Goalkeeper Gloves,Volleyball,Clothing,Leather,191,3.8
392,Puma Goalkeeper Gloves,Table Tennis,Ball,Mesh,87,4.6
393,Under Armour T-Shirt,Volleyball,Ball,Cotton,95,3.8
394,Adidas X Pro Gloves,Volleyball,Ball,Mesh,148,4.2
395,Asics Gel Nimbus,Badminton,Ball,Mesh,44,4.0
396,Adidas X Pro Gloves,Table Tennis,Ball,Mesh,195,4.6
397,Adidas X Pro Gloves,Hockey,Gloves,Synthetic,77,4.2
398,Adidas Predator,Squash,Ball,Leather,75,4.9
399,Nike Air Zoom,Golf,Ball,Synthetic,64,4.8
400,Adidas Predator,Long Tennis,Ball,Mesh,199,4.6
401,Adidas Predator,Table Tennis,Ball,Polyester,161,4.9
402,Nike Air Zoom,Long Tennis,Clothing,Leather,190,4.2
403,Under Armour T-Shirt,Skating,Shoes,Synthetic,142,4.1
404,Under Armour T-Shirt,Volleyball,Shoes,Leather,158,3.7
405,Wilson Basketball,Squash,Clothing,Polyester,78,4.7
406,Under Armour T-Shirt,Table Tennis,Ball,Polyester,54,3.7
407,Nike Air Zoom,Squash,Shoes,Mesh,161,4.2
408,Under Armour T-Shirt,Hockey,Clothing,Leather,118,4.1
409,Asics Gel Nimbus,Skating,Gloves,Polyester,180,3.9
410,Adidas X Pro Gloves,Football,Clothing,Polyester,81,4.1
